angle	  | quarter	  | number	  | comparison																																																																																																																																										
-91		  | 2		  | -1		  | 1F 1T 																																																																																																																																											
-90		  | 2		  | -1		  | 1T 																																																																																																																																												
-89		  | 1		  | 0		  | 1F 																																																																																																																																												
-88		  | 1		  | 0		  | 1F 																																																																																																																																												
-87		  | 1		  | 0		  | 1F 																																																																																																																																												
-86		  | 1		  | 0		  | 1F 																																																																																																																																												
-85		  | 1		  | 0		  | 1F 																																																																																																																																												
-84		  | 1		  | 0		  | 1F 																																																																																																																																												
-83		  | 1		  | 0		  | 1F 																																																																																																																																												
-82		  | 1		  | 0		  | 1F 																																																																																																																																												
-81		  | 1		  | 0		  | 1T 																																																																																																																																												
-80		  | 1		  | 0		  | 1F 																																																																																																																																												
-79		  | 1		  | 0		  | 1F 																																																																																																																																												
-78		  | 1		  | 0		  | 1T 																																																																																																																																												
-77		  | 1		  | 0		  | 1F 1T 																																																																																																																																											
-76		  | 1		  | 0		  | 1T 																																																																																																																																												
-75		  | 1		  | 0		  | 1F 																																																																																																																																												
-74		  | 1		  | 0		  | 1F 																																																																																																																																												
-73		  | 1		  | 0		  | 1F 																																																																																																																																												
-72		  | 1		  | 0		  | 2F 																																																																																																																																												
-71		  | 1		  | 0		  | 2F 																																																																																																																																												
-70		  | 1		  | 0		  | 1F 																																																																																																																																												
-69		  | 1		  | 0		  | 1F 																																																																																																																																												
-68		  | 1		  | 0		  | 1F 																																																																																																																																												
-67		  | 1		  | 0		  | 1F 																																																																																																																																												
-66		  | 1		  | 0		  | 1T 																																																																																																																																												
-65		  | 1		  | 0		  | 1F 																																																																																																																																												
-64		  | 1		  | 0		  | 1F 1T 																																																																																																																																											
-63		  | 1		  | 0		  | 1T 																																																																																																																																												
-62		  | 1		  | 0		  | 1F 																																																																																																																																												
-61		  | 1		  | 0		  | 1F 																																																																																																																																												
-60		  | 1		  | 0		  | 1F 																																																																																																																																												
-59		  | 1		  | 0		  | 1F 																																																																																																																																												
-58		  | 1		  | 0		  | 1F 																																																																																																																																												
-57		  | 1		  | 0		  | 1F 																																																																																																																																												
-56		  | 1		  | 0		  | 1F 																																																																																																																																												
-55		  | 1		  | 0		  | 1F 																																																																																																																																												
-54		  | 1		  | 0		  | 1F 																																																																																																																																												
-53		  | 1		  | 0		  | 1T 																																																																																																																																												
-52		  | 1		  | 0		  | 1F 																																																																																																																																												
-51		  | 1		  | 0		  | 1F 																																																																																																																																												
-50		  | 1		  | 0		  | 1F 																																																																																																																																												
-49		  | 1		  | 0		  | 1T 																																																																																																																																												
-48		  | 1		  | 0		  | 1F 1T 																																																																																																																																											
-47		  | 1		  | 0		  | 1T 																																																																																																																																												
-46		  | 1		  | 0		  | 1F 																																																																																																																																												
-45		  | 1		  | 0		  | 1F 																																																																																																																																												
-44		  | 1		  | 0		  | 1F 																																																																																																																																												
-43		  | 1		  | 0		  | 1T 																																																																																																																																												
-42		  | 1		  | 0		  | 1F 																																																																																																																																												
-41		  | 1		  | 0		  | 1F 																																																																																																																																												
-40		  | 1		  | 0		  | 1F 																																																																																																																																												
-39		  | 1		  | 0		  | 1F 																																																																																																																																												
-38		  | 1		  | 0		  | 1T 																																																																																																																																												
-37		  | 1		  | 0		  | 1T 																																																																																																																																												
-36		  | 1		  | 0		  | 1T 																																																																																																																																												
-35		  | 1		  | 0		  | 1F 																																																																																																																																												
-34		  | 1		  | 0		  | 1F 																																																																																																																																												
-33		  | 1		  | 0		  | 1F 																																																																																																																																												
-32		  | 1		  | 0		  | 1T 																																																																																																																																												
-31		  | 1		  | 0		  | 1F 																																																																																																																																												
-30		  | 1		  | 0		  | 1F 																																																																																																																																												
-29		  | 1		  | 0		  | 1F 																																																																																																																																												
-28		  | 1		  | 0		  | 1F 																																																																																																																																												
-27		  | 1		  | 0		  | 1F 																																																																																																																																												
-26		  | 1		  | 0		  | 1F 																																																																																																																																												
-25		  | 1		  | 0		  | 1F 																																																																																																																																												
-24		  | 1		  | 0		  | 1F 																																																																																																																																												
-23		  | 1		  | 0		  | 1F 																																																																																																																																												
-22		  | 1		  | 0		  | 1F 																																																																																																																																												
-21		  | 1		  | 0		  | 1F 																																																																																																																																												
-20		  | 1		  | 0		  | 2F 																																																																																																																																												
-19		  | 1		  | 0		  | 1F 																																																																																																																																												
-18		  | 1		  | 0		  | 1T 																																																																																																																																												
-17		  | 1		  | 0		  | 1F 																																																																																																																																												
-16		  | 1		  | 0		  | 1T 																																																																																																																																												
-15		  | 1		  | 0		  | 1T 																																																																																																																																												
-14		  | 1		  | 0		  | 1F 																																																																																																																																												
-13		  | 1		  | 0		  | 1F 																																																																																																																																												
-12		  | 1		  | 0		  | 1F 																																																																																																																																												
-11		  | 1		  | 0		  | 1F 																																																																																																																																												
-10		  | 1		  | 0		  | 1T 																																																																																																																																												
-9		  | 1		  | 0		  | 1F 																																																																																																																																												
-8		  | 1		  | 0		  | 1T 																																																																																																																																												
-7		  | 1		  | 0		  | 1T 																																																																																																																																												
-6		  | 1		  | 0		  | 1F 																																																																																																																																												
-5		  | 1		  | 0		  | 1T 																																																																																																																																												
-4		  | 1		  | 0		  | 1F 																																																																																																																																												
-3		  | 1		  | 0		  | 1F 																																																																																																																																												
-2		  | 1		  | 0		  | 1F 																																																																																																																																												
-1		  | 1		  | 0		  | 1F 																																																																																																																																												
0		  | 1		  | 0		  | 1F 																																																																																																																																												
1		  | 1		  | 0		  | 1F 																																																																																																																																												
2		  | 1		  | 0		  | 2F 																																																																																																																																												
3		  | 1		  | 0		  | 2F 																																																																																																																																												
4		  | 1		  | 0		  | 1F 																																																																																																																																												
5		  | 1		  | 0		  | 1F 																																																																																																																																												
6		  | 1		  | 0		  | 1F 																																																																																																																																												
7		  | 1		  | 0		  | 1T 																																																																																																																																												
8		  | 1		  | 0		  | 1F 																																																																																																																																												
9		  | 1		  | 0		  | 1T 																																																																																																																																												
10		  | 1		  | 0		  | 1T 																																																																																																																																												
11		  | 1		  | 0		  | 1F 1T 																																																																																																																																											
